construct	time	rep	Nluc	Fluc	Nluc_noF
scrUTR_Nluc_hHBB	6	1	418606	12308.7	150941
CoV2_P4_Nluc_hHBB	6	1	1008170	14584.8	718665
CoV2_Nluc_hHBB	6	1	902124	14678	487954
CoV2_TTG_Nluc_hHBB	6	1	701149	10646.8	753544
mRpl18a_P4_mActb_Nluc_hHBB	6	1	2058200	11170.4	1622160
P4_TEV_mActb_Nluc_hHBB	6	1	1888730	12385.8	1001710
TEV_Nluc_hHBB	6	1	2536290	16877.5	1459300
hCOL1A2_Nluc_hHBB	6	1	1069260	11452.7	546615
hHBB_Nluc_hHBB	6	1	4190370	12143.5	2351590
TEV_Nluc_hHBA1	6	1	1651320	14322.5	1181410
hACTB_Nluc_hHBB	6	1	2130500	11434.7	1187880
mHoxa9_IRES_Nluc_hHBB	6	1	56810.1	11183.4	32435.6
scrUTR_Nluc_hHBB	6	2	351374	9437.54	118826
CoV2_P4_Nluc_hHBB	6	2	988595	15518.3	473043
CoV2_Nluc_hHBB	6	2	718794	8986.12	481211
CoV2_TTG_Nluc_hHBB	6	2	503474	6162.94	440467
mRpl18a_P4_mActb_Nluc_hHBB	6	2	1782990	8433.63	1053220
P4_TEV_mActb_Nluc_hHBB	6	2	1219920	6761.33	529910
TEV_Nluc_hHBB	6	2	1821260	10834	828834
hCOL1A2_Nluc_hHBB	6	2	991281	9998.1	312758
hHBB_Nluc_hHBB	6	2	3215120	9596.7	1743310
TEV_Nluc_hHBA1	6	2	1389230	11161.4	876874
hACTB_Nluc_hHBB	6	2	2159610	11007.2	980548
mHoxa9_IRES_Nluc_hHBB	6	2	45672.1	9412.52	24189.8
scrUTR_Nluc_hHBB	6	3	327169	9228.34	170933
CoV2_P4_Nluc_hHBB	6	3	856800	12398.8	594588
CoV2_Nluc_hHBB	6	3	568181	7498.87	613393
CoV2_TTG_Nluc_hHBB	6	3	395687	5550.57	352889
mRpl18a_P4_mActb_Nluc_hHBB	6	3	977060	5016.28	745039
P4_TEV_mActb_Nluc_hHBB	6	3	773253	4544.05	532797
TEV_Nluc_hHBB	6	3	1196130	8388.59	836753
hCOL1A2_Nluc_hHBB	6	3	667690	7844.14	288396
hHBB_Nluc_hHBB	6	3	2478970	9467.57	1458990
TEV_Nluc_hHBA1	6	3	1382720	11494.7	927620
hACTB_Nluc_hHBB	6	3	2199010	11046.2	916101
mHoxa9_IRES_Nluc_hHBB	6	3	52528.4	10511.6	26269.1
scrUTR_Nluc_hHBB	6	4	302978	7404.8	113669
CoV2_P4_Nluc_hHBB	6	4	1019090	13684.5	480317
CoV2_Nluc_hHBB	6	4	863874	9327.44	539479
CoV2_TTG_Nluc_hHBB	6	4	449535	6316.03	628939
mRpl18a_P4_mActb_Nluc_hHBB	6	4	1340750	6668.27	816822
P4_TEV_mActb_Nluc_hHBB	6	4	577240	3387.59	551127
TEV_Nluc_hHBB	6	4	1521860	7674	1276070
hCOL1A2_Nluc_hHBB	6	4	673932	6179.95	437599
hHBB_Nluc_hHBB	6	4	2323520	7316.73	1623530
TEV_Nluc_hHBA1	6	4	1489230	10406.5	1007420
hACTB_Nluc_hHBB	6	4	1954800	8900.04	1185650
mHoxa9_IRES_Nluc_hHBB	6	4	57663.1	10714.9	33292.4
scrUTR_Nluc_hHBB	6	5	467861	13919.9	143269
CoV2_P4_Nluc_hHBB	6	5	918051	14402.6	532307
CoV2_Nluc_hHBB	6	5	815635	11782.1	532533
CoV2_TTG_Nluc_hHBB	6	5	413521	6553.19	367574
mRpl18a_P4_mActb_Nluc_hHBB	6	5	1835600	12112.5	1092740
P4_TEV_mActb_Nluc_hHBB	6	5	1132500	8437.63	538884
TEV_Nluc_hHBB	6	5	1328240	8012.27	787367
hCOL1A2_Nluc_hHBB	6	5	877177	9503.6	427019
hHBB_Nluc_hHBB	6	5	2439710	8262.48	1532090
TEV_Nluc_hHBA1	6	5	1686490	11731	1086340
hACTB_Nluc_hHBB	6	5	2255080	10802.9	1093340
mHoxa9_IRES_Nluc_hHBB	6	5	52667.1	10395.5	28375
