construct	time	rep	Fluc	Nluc	rna
scrUTR_Nluc_hHBB	6	1	4104.86	1993970	0.879932148004048
CoV2_P4_Nluc_hHBB	6	1	10062.2	6833410	0.581596934253248
CoV2_Nluc_hHBB	6	1	6902.43	7463030	0.78759117401353
CoV2_TTG_Nluc_hHBB	6	1	6943.46	8436810	0.739915044934926
mRpl18a_P4_mActb_Nluc_hHBB	6	1	5655.63	9884880	1.20308544993189
P4_TEV_mActb_Nluc_hHBB	6	1	5051.3	8931350	1.23522988077084
TEV_Nluc_hHBB	6	1	5827.73	10762100	1.95082357442467
hCOL1A2_Nluc_hHBB	6	1	4811.18	6707510	2.61820550542148
hHBB_Nluc_hHBB	6	1	4321.95	11881600	2.62996851840629
TEV_Nluc_hHBA1	6	1	5657.63	8698530	2.35578943693699
hACTB_Nluc_hHBB	6	1	5486.54	9592070	1.86660738833461
mHoxa9_IRES_Nluc_hHBB	6	1	3310.56	473212	1.22413866681589
scrUTR_Nluc_hHBB	6	2	3767.72	1972660	1.30036858573329
CoV2_P4_Nluc_hHBB	6	2	5104.33	4282940	0.84080085645488
CoV2_Nluc_hHBB	6	2	6895.42	6551260	0.878506421336524
CoV2_TTG_Nluc_hHBB	6	2	6884.42	6728080	0.923529602933201
mRpl18a_P4_mActb_Nluc_hHBB	6	2	5219.39	9162670	2.12904227680516
P4_TEV_mActb_Nluc_hHBB	6	2	4857.2	8121210	2.40051177997951
TEV_Nluc_hHBB	6	2	4330.96	9804300	3.74356436712626
hCOL1A2_Nluc_hHBB	6	2	4330.96	5732320	3.75249602611248
hHBB_Nluc_hHBB	6	2	3597.66	9706320	2.35868194465423
TEV_Nluc_hHBA1	6	2	5391.48	7819840	2.16548322379247
hACTB_Nluc_hHBB	6	2	6264	10188100	2.24422633524256
mHoxa9_IRES_Nluc_hHBB	6	2	4579.07	554456	1.25037688527671
scrUTR_Nluc_hHBB	6	3	3224.53	1569460	1.60431260433574
CoV2_P4_Nluc_hHBB	6	3	4747.15	3623220	0.760078386176629
CoV2_Nluc_hHBB	6	3	4443.01	4614380	0.783680551258525
CoV2_TTG_Nluc_hHBB	6	3	7343.75	7406900	0.767743683735717
mRpl18a_P4_mActb_Nluc_hHBB	6	3	5705.66	9134990	1.36411618104929
P4_TEV_mActb_Nluc_hHBB	6	3	5005.28	7685310	1.53018212498894
TEV_Nluc_hHBB	6	3	6454.12	11082500	2.418257218124
hCOL1A2_Nluc_hHBB	6	3	5961.81	7025080	2.59322944536308
