construct	time	rep	Fluc	Nluc	rna
scrUTR_NlucP_hHBB	6	1	9528.63	1872380	1.22067901962146
CoV2_P4_NlucP_hHBB	6	1	7768.08	742979	0.67744590766864
CoV2_NlucP_hHBB	6	1	6541.18	857979	0.989921284211761
CoV2_TTG_NlucP_hHBB	6	1	8770.92	1151440	0.771897250862261
mRpl18a_P4_mActb_NlucP_hHBB	6	1	7552.91	1148290	0.831629028275344
P4_TEV_mActb_NlucP_hHBB	6	1	8555.73	900194	0.729981002114839
TEV_NlucP_hHBB	6	1	9812.91	2994640	1.94068037154214
hCOL1A2_NlucP_hHBB	6	1	10095.2	856273	1.43756969696046
hHBB_NlucP_hHBB	6	1	6946.46	1244190	
TEV_NlucP_hHBA1	6	1	8148.39	1127720	0.911854024742744
hACTB_NlucP_hHBB	6	1	8527.71	1738500	0.827637665440053
mHoxa9_IRES_NlucP_hHBB	6	1	10778.9	35116.8	0.503757449965395
scrUTR_NlucP_hHBB	24	1	13903.9	1751820	1.08601461902631
CoV2_P4_NlucP_hHBB	24	1	6982.49	488553	0.744252179969378
CoV2_NlucP_hHBB	24	1	6536.18	514303	0.934447924331679
CoV2_TTG_NlucP_hHBB	24	1	6892.42	488809	0.797579827286651
mRpl18a_P4_mActb_NlucP_hHBB	24	1	8930.06	616878	0.730761435839962
P4_TEV_mActb_NlucP_hHBB	24	1	6223.98	547695	0.572455086871245
TEV_NlucP_hHBB	24	1	7616.96	1674050	1.3796960488702
hCOL1A2_NlucP_hHBB	24	1	6403.09	497709	0.99751022208626
hHBB_NlucP_hHBB	24	1	9669.77	2189280	
TEV_NlucP_hHBA1	24	1	7402.79	1110110	0.970117925699129
hACTB_NlucP_hHBB	24	1	12689.2	1947810	0.845858031152772
mHoxa9_IRES_NlucP_hHBB	24	1	14024	22822.5	0.602319810915204
scrUTR_NlucP_hHBB	6	2	8803.95	1205790	0.96807895189179
CoV2_P4_NlucP_hHBB	6	2	6677.27	667176	0.670630282876043
CoV2_NlucP_hHBB	6	2	4876.21	698774	0.860951789931493
CoV2_TTG_NlucP_hHBB	6	2	5640.62	666909	0.932717480764361
mRpl18a_P4_mActb_NlucP_hHBB	6	2	6284.01	1030840	0.613884165546853
P4_TEV_mActb_NlucP_hHBB	6	2	5489.54	670598	0.570376413427444
TEV_NlucP_hHBB	6	2	6632.24	2290240	1.21686659496748
hCOL1A2_NlucP_hHBB	6	2	9269.38	924286	0.8133521686675
hHBB_NlucP_hHBB	6	2	6244.99	1423610	
TEV_NlucP_hHBA1	6	2	10676.8	1243470	1.06023167125735
hACTB_NlucP_hHBB	6	2	10053.2	1969360	0.881247425907921
mHoxa9_IRES_NlucP_hHBB	6	2	6690.28	23987.3	0.632570615168602
scrUTR_NlucP_hHBB	24	2	9901	1463870	1.10098603438694
CoV2_P4_NlucP_hHBB	24	2	6639.25	422754	0.749792561398678
CoV2_NlucP_hHBB	24	2	8646.81	587849	0.798988717789557
CoV2_TTG_NlucP_hHBB	24	2	5837.74	432467	0.804439651081265
mRpl18a_P4_mActb_NlucP_hHBB	24	2	6471.14	509641	0.702333173646571
P4_TEV_mActb_NlucP_hHBB	24	2	5233.4	445570	0.64751329239388
TEV_NlucP_hHBB	24	2	5909.78	1259560	1.48805908880376
hCOL1A2_NlucP_hHBB	24	2	4531.05	382156	0.853278453362917
hHBB_NlucP_hHBB	24	2	10765.9	2455550	
TEV_NlucP_hHBA1	24	2	7606.95	1176220	1.10159584037782
hACTB_NlucP_hHBB	24	2	8395.59	1811190	0.863548126039289
mHoxa9_IRES_NlucP_hHBB	24	2	8822.97	14140.2	0.542391127335799
scrUTR_NlucP_hHBB	6	3	9088.21	1409670	1.06935417602357
CoV2_P4_NlucP_hHBB	6	3	8104.35	784920	0.752346492544011
CoV2_NlucP_hHBB	6	3	3918.78	531151	0.659407399162693
CoV2_TTG_NlucP_hHBB	6	3	4248.92	513494	0.678519571084534
mRpl18a_P4_mActb_NlucP_hHBB	6	3	5956.81	724175	0.809869907802975
P4_TEV_mActb_NlucP_hHBB	6	3	6000.84	639434	0.701470066680222
TEV_NlucP_hHBB	6	3	5003.28	1643750	1.39710655586773
hCOL1A2_NlucP_hHBB	6	3	8264.48	705271	0.833689306022797
hHBB_NlucP_hHBB	6	3	6387.08	1525950	
TEV_NlucP_hHBA1	6	3	9268.38	1394550	0.868401680328324
hACTB_NlucP_hHBB	6	3	8658.82	1737590	0.74021210388928
mHoxa9_IRES_NlucP_hHBB	6	3	11983.3	46586.4	0.469081073204233
scrUTR_NlucP_hHBB	24	3	10509.6	1342280	1.27395670885706
CoV2_P4_NlucP_hHBB	24	3	5923.79	351635	0.786431498016276
CoV2_NlucP_hHBB	24	3	7849.14	579548	0.858842922042696
CoV2_TTG_NlucP_hHBB	24	3	6173.94	510277	0.675948641818338
mRpl18a_P4_mActb_NlucP_hHBB	24	3	4702.13	358099	0.692640212093162
P4_TEV_mActb_NlucP_hHBB	24	3	3921.78	373053	0.72141216566801
TEV_NlucP_hHBB	24	3	4826.19	1204530	1.50175936473249
hCOL1A2_NlucP_hHBB	24	3	4913.23	413064	1.0262727952824
hHBB_NlucP_hHBB	24	3	10639.8	2360090	
TEV_NlucP_hHBA1	24	3	7534.9	1121840	0.923007401052315
hACTB_NlucP_hHBB	24	3	10898.1	2007390	0.800570994060381
mHoxa9_IRES_NlucP_hHBB	24	3	10218.3	17730	0.577845626956774
scrUTR_NlucP_hHBB	6	4	9781.88	1736030	
CoV2_P4_NlucP_hHBB	6	4	6333.05	737063	
CoV2_NlucP_hHBB	6	4	3783.73	531149	
CoV2_TTG_NlucP_hHBB	6	4	3647.68	425631	
mRpl18a_P4_mActb_NlucP_hHBB	6	4	3647.68	548464	
P4_TEV_mActb_NlucP_hHBB	6	4	5271.42	625718	
TEV_NlucP_hHBB	6	4	4762.16	1668540	
hCOL1A2_NlucP_hHBB	6	4	5479.53	478180	
hHBB_NlucP_hHBB	6	4	6156.93	1237840	
TEV_NlucP_hHBA1	6	4	8377.58	1124300	
hACTB_NlucP_hHBB	6	4	6448.12	1422260	
mHoxa9_IRES_NlucP_hHBB	6	4	10293.4	37921.2	
scrUTR_NlucP_hHBB	24	4	10561.7	1300990	
CoV2_P4_NlucP_hHBB	24	4	7277.7	520354	
CoV2_NlucP_hHBB	24	4	6642.25	577273	
CoV2_TTG_NlucP_hHBB	24	4	9313.42	786637	
mRpl18a_P4_mActb_NlucP_hHBB	24	4	4128.87	384971	
P4_TEV_mActb_NlucP_hHBB	24	4	5746.68	581350	
TEV_NlucP_hHBB	24	4	5738.68	1595680	
hCOL1A2_NlucP_hHBB	24	4	5852.75	503855	
hHBB_NlucP_hHBB	24	4	8633.8	2234880	
TEV_NlucP_hHBA1	24	4	8829.97	1200360	
hACTB_NlucP_hHBB	24	4	8681.84	1623610	
mHoxa9_IRES_NlucP_hHBB	24	4	8088.34	18070.6	
scrUTR_NlucP_hHBB	6	5	8197.43	1535240	
scrUTR_NlucP_hHBB	6	6	7362.76	1225020	
scrUTR_NlucP_hHBB	6	7	8936.07	1560850	
scrUTR_NlucP_hHBB	6	8	9547.65	1807380	
hHBB_NlucP_hHBB	6	5	8585.76	2450460	
hHBB_NlucP_hHBB	6	6	6992.49	1932550	
hHBB_NlucP_hHBB	6	7	5376.47	1493280	
hHBB_NlucP_hHBB	6	8	4947.25	1572340	
scrUTR_NlucP_hHBB	24	5	13268	1879820	
scrUTR_NlucP_hHBB	24	6	12903.5	1480100	
scrUTR_NlucP_hHBB	24	7	13615.4	1533880	
scrUTR_NlucP_hHBB	24	8	13645.5	1695330	
hHBB_NlucP_hHBB	24	5	11075.3	2524270	
hHBB_NlucP_hHBB	24	6	7774.08	2127290	
hHBB_NlucP_hHBB	24	7	12421.9	2923010	
hHBB_NlucP_hHBB	24	8	9108.23	2034920	
