Barcode	Frac. intact (3-6 hrs)	Decay time	Human readable name	Expt type number	Expt type
130006D1	0.181255	75.718048	humanHBB_ModernaRef_egfp_lowstructure_HBB_F30Pepper	5	eGFP
130008D1	1.689850	10133099161583958.000000	humanHBB_HKWS_2_MEV+w_HBB_F30Pepper	1	MEV
130009D1	1.311558	738.187660	humanHBB_HKWS_3_MEV+w_HBB_F30Pepper	1	MEV
130010D1	0.155916	96.205765	humanHBB_ribotree_1_eGFP+deg_HBB_F30Pepper	5	eGFP
130011D1	0.278836	99.084938	humanHBB_ribotree_2_eGFP+deg_HBB_F30Pepper	5	eGFP
130012D1	0.143604	101.594490	humanHBB_ribotree_3_eGFP+deg_HBB_F30Pepper	5	eGFP
130013D1	1.306134	855.825417	humanHBB_HKWS_1_MEV+W_HBB_F30Pepper	1	MEV
110002T1	1.257330	2376.888519	humanHBB_Eterna_MEV_HBB_F30Pepper_Astro Snake -106.2 #61 pairs #coaxial stacking	1	MEV
110003T1	1.498189	828.086037	humanHBB_Eterna_MEV_HBB_F30Pepper_C.3	1	MEV
110004T1	1.229448	1019.311455	humanHBB_Eterna_MEV_HBB_F30Pepper_Astros-D'Wydd-mod63P-105.8Kcal	1	MEV
110005T1	1.253118	493.464867	humanHBB_Eterna_MEV_HBB_F30Pepper_Steve's Mod of Omei's 59 pairs Epitope #4	1	MEV
110006T1	0.120590	77.195709	humanHBB_Eterna_eGFP_HBB_F30Pepper_MS2 bacteriophage genome style #267 #275.2	5	eGFP
110007T1	0.372387	119.956558	humanHBB_Eterna_eGFP_HBB_F30Pepper_MutGen.1 300 pairs	5	eGFP
110008T1	0.208207	91.373154	humanHBB_Eterna_eGFP_HBB_F30Pepper_281/ -401,2 kcal	5	eGFP
110009T1	0.143486	68.242126	humanHBB_Eterna_eGFP_HBB_F30Pepper_Bat Dragon 3	5	eGFP
1100011T1	1.073604	690.943771	humanHBB_Eterna_MEV_start_HBB_F30Pepper	1	MEV
130001D1	0.358287	125.797234	humanHBB_ModernaRef_egfp_highstructure_HBB_F30Pepper	5	eGFP
130002D1	0.520039	154.065536	humanHBB_ModernaRef_egfp_highstructure_HBB_F30Pepper	5	eGFP
130005D1	0.094573	72.566208	humanHBB_ModernaRef_egfp_lowstructure_HBB_F30Pepper	5	eGFP
120003B1	0.244308	95.925133	hACTB_Nluc_hHBB	2	Barna lab NLuc
120007B1	0.254824	91.910316	mActb_inv_Nluc_hHBB	2	Barna lab NLuc
120008B1	0.261456	85.393570	P4_mActb_inv_Nluc_hHBB	2	Barna lab NLuc
120012B1	0.335622	127.539734	hHBB_Nluc_hHBA1	2	Barna lab NLuc
120017B1	0.334214	114.861443	hHBB_Nluc_WPRE	2	Barna lab NLuc
120018B1	0.262814	109.924118	CoV2_Nluc_hHBB	2	Barna lab NLuc
120019B1	0.273003	79.566833	CoV2_P4_Nluc_hHBB	2	Barna lab NLuc
120020B1	0.281233	103.330261	CoV2_TTG_Nluc_hHBB	2	Barna lab NLuc
220022B1	0.205899	85.204948	TEV_Nluc_hHBB	2	Barna lab NLuc
220024B1	0.331794	102.928299	TEV_P4_mActb_Nluc_hHBB	2	Barna lab NLuc
220025B1	0.265283	77.502296	P4_TEV_mActb_Nluc_hHBB	2	Barna lab NLuc
220026B1	0.266596	82.913475	mRpl18a_hHBB_Nluc_hHBB	2	Barna lab NLuc
220027B1	0.268054	86.764801	mRpl18a_P4_mActb_Nluc_hHBB	2	Barna lab NLuc
220028B1	0.263171	96.217644	TOP_hHBB_Nluc_hHBB	2	Barna lab NLuc
220029B1	0.242848	93.387566	TEV_CERT_hHBB_Nluc_hHBB	2	Barna lab NLuc
220030B1	0.233380	73.661270	mHoxa9_IRES_Nluc_hHBB	2	Barna lab NLuc
220031B1	0.296281	100.956459	hHBB_Nluc_CoV2	2	Barna lab NLuc
320038B1	0.317855	113.344986	hHBB_Nluc_hHBB_F30Pepper	4	NLuc Eterna
320039B1	0.283563	101.091179	hHBB_Nluc_CrPV	2	Barna lab NLuc
320040B1	0.271177	108.108421	hHBB_Nluc_TSV	2	Barna lab NLuc
320041B1	0.331344	119.009743	hHBB_Nluc_SINV_URE	2	Barna lab NLuc
320042B1	0.300105	110.803230	hHBB_Nluc_DV	2	Barna lab NLuc
320043B1	0.391451	125.844131	hHBB_Nluc_BMV	2	Barna lab NLuc
320044B1	0.279088	98.019058	hHBB_Nluc_PV	2	Barna lab NLuc
320045B1	0.404772	141.130096	hHBB_Nluc_RV	2	Barna lab NLuc
320046B1	0.348611	120.806694	HCV_IRES_Nluc_hHBB	2	Barna lab NLuc
320047B1	0.333649	136.508629	scrUTR_Nluc_hHBB	2	Barna lab NLuc
320048B1	0.304717	110.355881	PoV_pA_scrUTR_Nluc_hHBB	2	Barna lab NLuc
320049B1	0.328938	114.361084	PoV_pA_hHBB_Nluc_hHBB	2	Barna lab NLuc
320050B1	0.367702	116.858894	hHBB_Nluc_CYBA	2	Barna lab NLuc
320051B1	0.312634	113.378014	hHBB_Nluc_CYBA_1.5x	2	Barna lab NLuc
320052B1	0.290618	104.965576	CYBA_Nluc_hHBB	2	Barna lab NLuc
