Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
130006D1	24.6458140869903	23.8433915270182	23.8382400256128	22.1385686087496	20.0950455890593	19.4867795651825	19.8726403907777	19.3462565588552	19.0868312148081	18.7375186527946
130008D1	33.4492687103499	33.7142285678887	33.6983676007234	33.2168999791096	32.7488901772249	32.2393559266337	31.88776474268	31.8573605270977	30.4576929843435	29.0869284890415
130009D1	32.6092331620272	32.7625867673503	32.7809829604511	32.1387097158672	31.6377906554123	31.073165636371	30.6855927110842	30.6791904939336	28.5975439351086	26.8651045617144
130010D1	27.286919665749	27.0430027467295	26.8469986005479	25.7570594139314	25.010192191215	23.9064654340656	23.6533355878708	23.7068301901421	22.1738578057105	21.2141885382637
130011D1	25.9594745658941	25.6999681767383	25.4363223717543	25.0274059440034	24.4409848690134	24.0746646902805	24.3252588726812	24.0084989920959	23.9990498701729	23.7013039041744
130012D1	26.7096456988595	26.4614650947698	26.0852159667712	24.9342427324465	23.7829578491228	22.781236037016	22.4895241355935	22.4891004115676	20.4953582842056	20.1146144732714
130013D1	33.5982641453493	33.7219549361375	33.6964533006459	33.186246799426	32.5848855879811	31.9881422740839	31.6487945681187	31.6189122862153	29.5494708451507	27.7757132262557
110001T1	33.2449122174443	33.4921167394494	33.4594001606212	32.8787622326967	32.3471898910681	31.7724471029564	31.4010718853885	31.1090879972661	29.7552662205787	28.1160851374666
110002T1	31.7210003254537	32.008472054962	31.9476431915721	31.4284443137934	30.8143542116195	30.1468043807882	29.8176341501372	29.4342876873038	27.8436679812003	26.0078563542831
110003T1	33.6062849773633	33.7208109540747	33.7129053368728	33.1889663823247	32.7436709656307	32.1661998253813	31.8727641721644	31.9338142559372	30.0484795087483	28.4551631628002
110004T1	33.7840736954936	33.9512970829236	33.9327894789353	33.3749521442255	32.7521987074376	32.1081909333705	31.7056120047241	31.6067527880019	29.5093900521124	27.7877005465115
110005T1	32.3534361607115	32.5096217536335	32.3335404556291	31.8494090356404	31.220741645359	30.8133344913827	30.7008824767092	30.1128535175604	29.0990964482415	27.6677660134209
110006T1	26.9567081316027	26.3024621940505	26.1066790997667	24.3550870938228	23.3104621311954	21.9061075033478	21.1498321555373	21.2421457375656	19.8854408409519	19.2811814772843
110007T1	27.6780828904626	27.329517177982	27.2197375206716	26.1550221326966	25.5615226385279	24.241222207512	23.6533355878708	23.7755574389277	20.0054354041296	19.0855317429797
110008T1	28.2636051176858	27.7157990814538	27.5770445479093	26.4658468856643	25.4980708251555	24.2031862422138	23.1369184349552	22.8551454390523	20.0054354041296	19.6840556036975
110009T1	26.9174105063275	26.2161599772032	26.0487423358313	24.7285534465309	24.1533450572592	23.1453862925169	23.0578731614099	22.058076208397	20.8984120430228	20.2183260683782
110010T1	27.8279009732341	27.3882690577627	27.122407045537	25.8538958631598	24.6255373966393	23.278245823082	22.4084769866217	22.4692398077566	19.5369063720841	19.1864035143461
1100011T1	33.4241415811834	33.6175221843116	33.4699796599823	32.9615060699093	32.2401589288623	31.7622310621503	31.3961570692384	30.1760594789318	28.4331633143463	26.2691771533536
130001D1	29.6193816318891	29.4137091929524	29.1157328064391	28.0740276915852	27.2124119088115	26.3234814596157	26.086079044075	25.5870831088798	24.1039478253201	22.7718461105346
130002D1	29.4428270648264	29.2416864597301	29.1766705273285	28.1905391950659	27.4887850779599	26.6709371962325	26.1874340172935	26.0217359888948	23.5557639101995	22.1567667314894
130003D1	29.0289423383144	28.5381454501637	28.0552675370592	26.4933238574529	25.3726186536877	24.0996032053888	23.4899566106928	23.6068949735273	22.0430882691487	21.8288037642632
130004D1	29.5188772976577	29.2485674902499	29.0183754110579	27.9809308721383	27.181005131385	26.3612744162145	26.1058336998013	26.1203564150932	24.7354535402918	23.6391947515287
130005D1	27.7243588636252	27.1853491786073	26.9063041367779	25.0631111942275	24.4031110967166	23.1453862925169	23.0027726417396	22.8395906481075	21.778548055427	20.8633084935254
120012B1	27.9385958362181	27.75080557527	27.4238211889634	26.4236650867423	25.6561186436517	24.5709398955431	23.7840967914036	23.7671361813094	22.087941234462	21.1059671187624
120017B1	26.1064942518249	26.0520457299979	25.6536012303238	25.0542641437145	24.0233559460998	23.4263194100141	23.0305749186348	22.5280532468984	21.0220683685015	20.2183260683782
220026B1	27.0374770778953	26.6052200705526	26.1828332126485	25.3871593030117	24.3543868808914	23.1142203162325	22.7093890785621	22.1348690626095	20.4091131087155	19.9445967572682
220028B1	29.1046210270983	28.7964598897056	28.2678830400997	27.4243786011362	26.4178213224338	25.3889304950348	24.485419376144	24.2657599345242	22.0278379596639	21.2141885382637
220029B1	27.063425529933	26.6446790488121	26.2933651413772	25.3871593030117	24.3344464303609	23.1142203162325	22.4895241355935	22.0841107620402	20.364096513091	19.2811814772843
220031B1	28.1077417184317	27.8386767163788	27.3608927689353	26.5533682171022	25.6561186436517	24.438268756574	23.9648336496927	23.6531439783643	21.778548055427	20.7960880061002
320038B1	31.6623571002363	31.3951813125367	30.9847525718747	30.0232599785837	29.1483154633999	28.1002973630025	27.2904018229528	27.0174989360688	24.9988989272376	24.2591721758112
320039B1	32.1093773831154	31.7052704866282	31.3577523971578	30.3516683749078	29.4402006854885	28.3711670389883	27.562180162496	27.3654010542229	25.1350810473404	24.4532101581375
320040B1	32.3744472875404	32.0737162464125	31.6408329836276	30.6270650788524	29.679653709662	28.51420506905	27.6643195416223	27.5340625249599	24.9484101269023	23.9827909735573
320041B1	32.9700160686335	32.6875101987611	32.3141779912723	31.3602671287836	30.4555814743896	29.4633501338435	28.6168156143842	28.4177388848119	26.3855067214428	25.6235530164376
320042B1	31.1433048011516	30.8682203580119	30.5028062918318	29.4421123260405	28.6013189201761	27.4626651387379	26.5936933351669	26.5105487087669	23.8266848839935	22.8179563756052
320043B1	33.2330290394428	32.9828982118375	32.6035748111283	31.7186598012379	30.8546490521049	29.9971029557458	29.2380015341692	29.0766383045033	27.3036573785307	26.656881878504
320044B1	31.7120058107654	31.3186967291739	30.9258163630292	29.9125896077247	29.0595963712965	27.9840473230394	27.0919999512164	26.9760380156435	24.6990513867225	23.8230553031342
320045B1	30.5423627383774	30.3959651953226	30.0323927719668	29.2750873942453	28.3275589025558	27.3431397674932	26.7676869830259	26.4885669704311	24.8203788121556	24.262676873836
320049B1	31.3790392869299	31.0944854215155	30.6909800315961	29.799144199244	28.8745427999607	27.9337463675398	27.0966234729258	26.8311564592403	24.6372807780791	23.7462698578054
320050B1	32.8695400167226	32.5908278183066	32.1951460328879	31.2603804578168	30.4305623223415	29.4867491898736	28.7724497673389	28.7330839257945	26.7729804491994	26.0460642936975
320051B1	33.3512325430586	33.0744404589341	32.6406454561525	31.6682314032815	30.7497725147806	29.7643181509793	28.8523931410776	28.7820776452988	26.5668939559059	25.8930567467077
320053B1	31.3191820588816	30.9404203063137	30.4859972300502	29.4863443736854	28.4421966766476	27.3654938317467	26.5250762159987	26.2667857451435	24.1537931740583	23.3489158622652
420057B1	32.5795328397318	32.3359589511937	31.9150408976811	30.9561067944503	30.0529894662184	29.0554202073697	28.1984152501991	27.9704499592579	25.7586631202247	24.9949534898558
420058B1	29.3935595199097	29.1270679046068	28.6998986050573	27.8558048259265	26.8283440380705	25.7686761479681	25.1948128739146	24.8755560171595	23.3903349457336	22.4496430353055
420059B1	30.6879163948408	30.4510834620293	30.198049969073	29.296812939403	28.4985988787042	27.5063828352347	27.146565661099	27.0719996774627	25.7376011643216	25.0163852751252
420060B1	30.7666320613293	30.5605095231111	30.1755490414643	29.2552078625442	28.4045006818427	27.3722325801377	26.6319012554891	26.4844093952001	24.4352436678079	23.5125279586991
620121B1	32.9257009881756	32.8276908612646	32.4563654292725	31.5172235069354	30.6871396660737	29.6941051054889	28.7866226124452	28.6669089998501	26.5382620928673	25.9606963299399
620124B1	30.7298378442739	30.5190382704388	30.2075901488409	29.2416251823584	28.3303757230365	27.3431397674932	26.5531648817253	26.4676632306086	24.0724381527953	23.417718453915
310001T1	31.3939430284072	30.7729690405337	30.3296951694549	28.3538787530678	27.7430937576087	26.2669590069166	25.7468483357297	25.9182175876568	24.202050606884	23.6860136919783
310002T1	31.5820594024931	30.9656094709613	30.4053418377904	28.3715189208096	27.6398015019747	26.1769805702227	25.6068965129818	25.7561229474576	23.9780171131668	23.6653836887284
310003T1	32.9578758680407	32.7063165399068	32.5426891065503	31.6915770866362	31.199506901617	30.3798122621266	29.6869118663607	29.7113744997529	26.0329255482476	24.2128573444045
310004T1	29.329777830791	28.6663636537854	28.390871833313	26.999827494625	26.5103290574778	25.7239490298858	25.2898283121104	25.5042100894864	24.3939660619922	23.8826989607885
310005T1	35.1932686902076	35.0845815368272	34.934316668844	34.1375631552324	33.6222532365101	32.9151691801599	32.3651727776795	32.384794515297	29.5562973588025	27.5164305326273
310006T1	29.9480286743034	29.3481659805213	29.0393549072628	27.0358268733729	26.2894613786524	24.9958094543593	24.8386672929826	24.6158215710795	23.3135082833027	22.9061718282985
310007T1	29.8648903900571	29.458710531517	28.9755087057315	27.2144783683145	26.8149081115877	25.6720082601695	25.0687059644428	25.2079619132047	23.6214838030579	23.1215109550864
310008T1	29.5713614626035	28.9149444819997	28.5214264092099	27.0239227193518	26.4913211810442	25.4748431282388	25.2681888036064	25.2432061142052	24.14243510367	23.3992617856633
310009T1	30.7499510243653	30.0704951764007	29.6909928146378	27.8951186542327	27.3562685372975	26.0587476432692	25.849707575935	25.9893014478461	24.7405831576315	24.3244129445344
310010T1	32.6034965731554	32.0817500024219	31.6035147001956	30.1083594250248	29.2505117193361	28.0635422876553	27.2592376978993	27.315919665423	25.6836278252106	25.2954550649765
310011T1	31.2046356450463	30.8538248434433	30.484869853461	28.6246503573919	28.0914406420481	26.796566353023	26.3338530953267	26.4464649269853	25.129149502221	24.4928162015243
310012T1	29.9368422258881	29.3518325149772	29.2334725787656	27.8168442429977	27.2315304216054	26.4090427949285	25.9947852372449	26.0954023706888	24.9030956348317	24.2092353041044
310013T1	31.3178352560944	30.7587006379475	30.2955123171603	28.6130821531698	27.8552634265913	26.6540936691028	26.1428415141565	26.2195420576162	24.7884671319325	24.2972848905529
310014T1	30.4992870271749	29.9083737883527	29.4940529320883	27.7768457486114	27.1489281751928	26.079101984738	25.9400164943324	25.7628637102978	25.0224634134955	24.2556593488384
310015T1	29.7401305992817	29.1217410106322	28.8389702261975	27.5473546041913	27.0301059083781	26.3443836168511	25.959806476792	25.9854392355479	25.3292782745211	24.7004371972007
310016T1	29.579476643606	28.9867015740107	28.7368143006846	27.2763484320946	26.5952431440901	25.7068316173853	25.3262154074923	25.3560385522824	24.2803701281625	23.417718453915
320001D1	30.0305875603434	29.4882572164585	29.0072670941241	27.4133537534483	26.7377696410746	25.4947602322576	25.1650971906223	25.1718723026079	23.9131080863265	23.5296627408562
