Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
130006D1	1	0.57338554503799	0.571341780419338	0.175891116047347	0.0426660245385383	0.0279882574598848	0.0365705542945268	0.0253906734640437	0.0212118921388058	0.0166504452340748
130008D1	0.832221890658687	1	0.989066228315654	0.708417330473709	0.512158268382613	0.359765153076798	0.281954871543396	0.276074962426962	0.104636958488571	0.0404616768583723
130009D1	0.887765285961259	0.987329683604848	1	0.640702602339531	0.452756636975723	0.306122857319937	0.234004754952404	0.232968617742348	0.0550375848920912	0.0165631582501562
130010D1	1	0.844449515631195	0.737174940914164	0.34631091117609	0.206365330910828	0.096024460825639	0.0805716394779451	0.0836152862129452	0.0288944884733997	0.0148568170373483
130011D1	1	0.835373689439889	0.695849784804635	0.524106308012315	0.349051133878059	0.270779443477827	0.32214549096894	0.258641274385907	0.256952804625753	0.209036870773146
130012D1	1	0.841957546373862	0.648676135095706	0.292112709273334	0.131516174960846	0.0656796540411428	0.0536558184813429	0.0536400619143644	0.0134683094581516	0.010344220720469
130013D1	0.917836578845133	1	0.98247892412538	0.689820000292381	0.454682269489902	0.300656350749636	0.237638358282498	0.232766823646274	0.0554570970331359	0.0162182086674383
110001T1	0.842527381110364	1	0.977577795233949	0.653675030002505	0.452212617566869	0.303618238841482	0.234710639452307	0.191706513135949	0.0750059825473406	0.0240798196661819
110002T1	0.819336658788685	1	0.958713157043452	0.668950914204382	0.437053608993071	0.275158027888884	0.21902418602501	0.167916468139841	0.0557531035399949	0.0156183331228782
110003T1	0.923685754369872	1	0.994535230203702	0.691669827300635	0.50798577792694	0.3404202753595	0.277768174898772	0.289774651175842	0.0784364773578671	0.0259945359102825
110004T1	0.890554996067691	1	0.987253440860435	0.670660742789381	0.435547395651837	0.278721046395587	0.210853799215974	0.196889175840954	0.0460100542963677	0.0139499471211141
110005T1	0.897394599518946	1	0.885103886258021	0.632784989201424	0.409268600671755	0.30857920285199	0.285440256731235	0.189889463856805	0.0940436728650001	0.0348703404475228
110006T1	1	0.6354075169152	0.554773572027025	0.164753265109962	0.0798675904576893	0.0301729459487138	0.0178630720567075	0.0190434358505978	0.00743594961102803	0.0048914345243516
110007T1	1	0.78536449757488	0.727820519162455	0.347946944185775	0.230596056781404	0.0923425458063022	0.0614370475646729	0.0668686846212842	0.00490120604468752	0.00259050458522658
110008T1	1	0.684059614464222	0.62133336389081	0.287621169082689	0.147058869790129	0.0599366027970431	0.0286228932019299	0.0235446048680561	0.00326620325243334	0.00261395584386063
