Ann_short_1	Ann_short_2	Ann_short_3	Ann_short_4	Ann_short_5	Ann_short_6	Ann_short_7	Ann_short_8	Ann_short_9	Ann_short_10
130006D1	0.420828463980288	0.683263578515771	0.693052227831699	0.888797377449556	0.813665565825537	1	0.780279991189083	0.628132698981682	0.4810623758532	0.464237830148874
130008D1	0.676966602922478	0.871401151680296	1	0.989738890009926	0.976231149860976	0.945617098084747	0.758689743909897	0.79567472702269	0.682292736782907	0.621542562645739
130009D1	0.600570728907965	0.855495883295662	0.929147833153008	1	0.948089504427843	0.949473409961812	0.696959280030596	0.764287193148879	0.677738404677726	0.657308217333636
130010D1	0.737482649633396	0.776334860774601	0.804752191726877	1	0.668700098246717	0.67312157248425	0.708229599852087	0.606643003705339	0.644631371399863	0.831836029737732
130011D1	0.467084051649918	0.516204266462623	0.721956477549645	0.894899392411227	1	0.840901424892018	0.793516063193561	0.773532226956566	0.757768653384738	0.871650019526461
130012D1	0.521566332695919	0.773708916206046	0.936568326477324	1	0.916328017825185	0.885012559419259	0.892173157538365	0.870593110166235	0.76362298151599	0.800951286487756
130013D1	0.622821927084831	0.77555783064181	0.890594347077461	1	0.948880479283595	0.961459601263176	0.771842284228362	0.831855314088736	0.742509136102098	0.639505046885807
110001T1	0.708072524955537	0.890025541535114	0.988453777489198	0.941918753624791	1	0.979417479248036	0.729021337256297	0.723073223139149	0.609958208884005	0.514823215544917
110002T1	0.678924749500163	0.893611607272004	0.976351780873465	0.989285971933594	1	0.957704644761471	0.700576013194103	0.782890892540992	0.722794375792638	0.690064583003277
110003T1	0.665543598419611	0.844968916862418	0.972766192372095	0.987012893178909	1	0.99739487828293	0.770682640863216	0.839118261877063	0.783534814372547	0.675252584756263
110004T1	0.701797382068572	0.858160191518285	0.968517352365858	1	0.929692791290645	0.928924919774739	0.698476366924925	0.745527020249088	0.550360462927801	0.429857689786195
110005T1	0.701826274924623	0.905112279910998	0.919892221397564	1	0.831561477858374	0.92260428675957	0.865523066072432	0.546852599551636	0.732326431558027	0.63393611254881
110006T1	0.726929389441848	0.791061481109522	0.892176133573921	0.961577582204116	1	0.95597876171122	0.77605808382939	0.824039525627133	0.785154417341915	0.870495908418022
110007T1	0.711559862287635	0.850475381335737	0.935760911498445	0.982546906032955	0.933517706700218	0.888385333965945	0.806320903801774	1	0.716250166148109	0.725228013686795
110008T1	0.55791547141229	0.677530536857027	0.716199161099603	1	0.796360628739675	0.70319378254501	0.677414501395288	0.794269821232932	0.728158970921908	0.753850913671849
110009T1	0.533540330294136	0.731219831589592	0.830949885208581	0.926973092410353	1	0.923615928401369	0.803454479763221	0.822930860989112	0.759759193079478	0.788653572062887
110010T1	0.626821205369164	0.726378908794452	0.752244252861155	1	0.891536595574698	0.801100676280864	0.706586758741843	0.735800107502152	0.659585951793925	0.664077897553427
1100011T1	0.477888662433243	0.661379230289154	0.775146651994514	0.907918893808201	0.90489828767723	1	0.80894009508817	0.750443059362637	0.896643989683559	0.785729749935145
130001D1	0.518328670764086	0.682201028075856	0.836909023459799	1	0.922058651242027	0.910229518812036	0.923685938808275	0.831217346742668	0.837744954651981	0.774338446454356
130002D1	0.58545506486928	0.7195404465887	0.852456417441662	1	0.981780224972795	0.967954018094657	0.818419106901211	0.936757192189306	0.905150748231191	0.848103716593661
130003D1	0.511061510342746	0.621632694239393	0.784141232432127	0.902842869148973	0.938571468401114	1	0.803599073382043	0.85829427170317	0.885036020123334	0.812162038707187
130004D1	0.54491731265931	0.730142109780013	0.832416436001652	0.921342626653865	1	0.943716391778794	0.833353053979159	0.892204723127944	0.945630791213463	0.968913378131211
